"","e1","e2","e4","e5","e6","e9","e10","e11","e15","e18","e21","e22","e23"
"147",100,100,100,83,88,100,100,100,100,100,94,87,95
"148",88,91,93,NA,44,90,94,91,31,29,28,NA,32
"149",59,89,88,44,86,90,73,79,68,70,61,68,46
"150",100,100,100,5,4,100,100,100,100,100,100,1,100
"151",100,100,100,100,96,100,100,100,98,100,100,NA,100
"152",80,78,64,69,70,84,73,84,55,71,54,59,85
"153",98,96,99,63,55,87,97,97,50,95,44,77,98
"154",100,100,100,51,50,100,81,79,33,89,82,3,87
"155",91,100,100,68,60,100,57,49,70,68,65,44,100
"156",93,100,89,83,74,99,98,89,83,79,66,79,80
"157",72,80,50,50,50,100,100,73,50,83,50,50,68
"158",100,100,100,100,100,100,100,100,50,100,100,66,100
"159",94,95,96,70,76,86,89,95,97,89,96,89,55
"160",90,100,100,84,88,92,86,86,100,100,100,68,81
"161",96,98,92,100,95,94,98,99,74,94,91,73,87
"162",88,79,88,88,84,97,95,86,89,49,73,84,80
"163",93,94,92,51,59,53,72,59,58,62,88,63,91
"164",84,54,33,96,100,100,100,100,70,97,100,82,94
"165",100,100,100,82,45,31,99,86,68,90,79,100,100
"166",95,100,97,84,80,86,100,74,70,29,94,100,100
"167",91,92,91,85,73,94,95,81,87,77,89,50,76
"168",100,100,100,88,100,100,92,100,76,48,100,33,100
"169",98,98,97,82,77,92,91,95,66,75,50,98,56
"170",100,100,100,64,96,100,100,100,100,100,88,100,100
"171",100,100,100,100,100,100,100,100,100,100,100,29,100
"172",76,91,75,75,68,100,100,100,100,100,53,87,94
"173",91,89,84,70,64,94,64,87,84,67,81,71,64
"174",79,81,92,70,62,89,97,82,50,63,80,65,71
"175",40,97,75,53,52,98,44,45,55,75,50,46,37
"176",100,100,91,66,72,100,100,97,89,87,94,68,100
"177",90,89,82,94,90,92,87,65,87,84,86,63,98
"178",100,100,100,100,100,100,100,100,100,100,82,100,86
"179",99,100,100,77,83,100,100,100,80,100,79,63,100
"180",84,98,93,51,30,100,100,99,26,54,53,75,33
"181",95,97,95,96,98,97,98,96,96,98,65,90,76
"182",100,100,100,54,100,100,100,80,66,87,100,50,56
"183",92,89,89,80,81,89,72,73,100,100,76,76,96
"184",50,50,50,NA,50,50,50,50,38,NA,50,50,50
"185",53,65,50,44,83,100,100,81,61,50,50,100,83
"186",100,100,100,100,100,100,100,100,100,100,100,100,100
"187",97,100,100,77,74,94,100,90,91,77,47,NA,100
"188",76,65,53,55,46,85,58,62,47,50,67,NA,44
"189",100,100,100,59,55,80,100,100,87,100,63,55,66
"190",94,94,97,92,83,74,91,77,95,95,96,89,81
"191",100,100,100,100,100,NA,100,100,100,100,100,NA,100
"192",96,98,98,96,98,98,98,97,98,98,97,98,98
"193",60,96,78,57,61,78,52,83,69,56,74,46,51
"194",100,71,100,100,100,100,100,100,100,100,100,50,100
"195",100,100,100,100,100,100,100,100,100,100,100,100,73
"196",100,100,100,100,100,100,100,100,100,100,100,100,83
"197",72,92,92,82,85,92,80,86,100,97,80,70,72
"198",100,100,100,100,100,100,100,100,87,24,100,100,84
"199",99,100,100,100,100,100,100,100,89,93,95,60,100
"200",74,83,74,75,81,98,80,78,82,62,62,59,87
"201",88,100,100,NA,NA,100,100,100,61,99,78,53,53
"202",95,86,82,59,62,79,94,86,67,71,64,62,79
"203",97,93,97,89,91,93,90,93,88,90,87,87,95
"204",100,100,100,100,100,100,100,100,69,96,91,100,100
"205",100,100,100,100,100,100,100,100,100,100,100,100,100
"206",60,76,79,63,71,56,30,66,44,66,69,76,68
"207",83,71,60,56,59,75,77,87,70,51,53,76,61
"208",94,95,93,50,86,98,97,93,57,71,71,39,39
"209",74,72,78,50,100,99,100,100,69,68,65,52,95
"210",93,100,100,94,100,80,98,100,100,95,80,100,100
"211",73,76,86,50,67,93,83,90,65,59,56,74,50
"212",90,86,82,81,69,76,46,64,75,82,96,91,70
"213",100,100,100,88,77,100,65,87,69,84,100,50,100
"214",100,94,100,79,100,100,85,100,50,92,71,72,100
"215",76,100,61,61,66,99,100,100,88,100,84,21,67
"216",83,75,78,91,100,92,100,100,83,56,100,100,50
"217",88,89,97,85,85,89,90,94,99,96,73,71,78
"218",100,100,100,100,90,89,89,93,92,89,90,71,88
"219",63,62,63,67,63,58,50,71,32,85,65,67,58
"220",39,64,39,100,100,64,100,100,83,100,100,50,60
"221",77,77,72,54,81,84,75,73,74,72,73,74,73
"222",91,25,92,29,59,96,83,86,62,40,33,64,37
"223",100,90,100,68,79,82,50,50,NA,NA,82,50,75
"224",71,60,59,69,67,92,78,84,67,67,64,62,55
"225",100,100,100,100,100,100,100,88,41,NA,100,90,100
"226",100,100,100,89,100,97,91,100,87,94,100,100,100
"227",50,100,100,86,73,100,64,79,73,100,66,57,100
"228",NA,NA,NA,66,54,61,49,49,NA,NA,NA,NA,51
"229",90,95,96,66,56,100,98,94,50,77,52,61,40
"230",35,75,81,74,71,100,43,85,55,87,91,59,86
"231",84,87,88,89,89,81,77,83,86,91,84,63,84
"232",93,100,96,68,79,100,100,100,61,72,100,45,56
"233",100,100,100,100,100,100,100,100,100,100,94,97,100
"234",61,100,100,50,66,100,76,66,80,50,50,90,51
"235",61,63,54,70,72,93,80,86,62,61,81,62,87
"236",92,100,98,86,99,100,100,100,100,84,100,90,100
"237",53,66,79,69,74,81,86,88,74,83,53,53,60
"238",98,96,100,89,100,74,NA,64,79,100,100,100,100
"239",97,98,97,92,93,95,97,94,96,96,96,65,86
"240",87,100,100,73,71,96,58,79,86,75,96,55,29
"241",84,100,100,100,100,99,89,81,96,100,100,51,22
"242",54,28,60,96,90,51,59,48,NA,45,31,95,97
"243",99,83,83,100,100,100,99,99,30,89,89,100,78
"244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,71
"245",67,50,69,94,91,89,89,68,67,74,81,50,77
"246",100,100,100,53,54,100,100,100,100,100,100,68,100
"247",100,100,100,81,89,94,95,100,99,68,NA,92,73
"248",100,100,100,100,100,100,100,100,100,100,100,100,100
"249",95,97,98,95,97,98,97,96,96,15,97,98,87
"250",NA,NA,NA,NA,NA,100,100,100,93,NA,NA,NA,100
"251",95,99,98,96,83,100,94,99,88,98,87,86,84
"252",90,85,92,85,NA,100,100,100,85,93,92,100,82
"253",69,66,79,68,68,93,89,76,61,68,64,82,71
"254",100,100,100,99,100,100,100,100,100,100,93,100,100
"255",88,69,89,91,95,86,63,58,82,72,92,62,56
"256",88,79,86,75,83,86,88,85,77,85,83,77,85
"257",89,87,87,52,70,61,50,79,69,84,84,51,50
"258",100,96,100,100,100,100,100,100,85,100,100,83,89
"259",100,100,100,100,100,100,100,99,100,100,100,52,95
"260",73,85,87,63,61,69,99,92,77,77,50,50,96
"261",84,100,100,76,NA,100,62,87,84,99,89,95,76
"262",100,100,100,100,100,99,100,100,100,100,100,100,97
"263",100,99,99,89,100,100,98,99,93,89,96,96,92
"264",100,100,100,100,100,100,100,92,58,72,100,100,57
"265",100,100,100,100,100,100,99,99,99,100,100,100,95
"266",84,72,80,67,71,95,41,74,80,22,82,67,92
"267",51,78,89,95,92,98,90,81,79,97,89,60,71
"268",96,100,100,84,92,100,100,98,42,95,87,69,93
"269",90,96,100,100,100,100,100,100,6,100,70,100,90
"270",77,96,83,74,83,94,86,87,64,86,64,62,61
"271",100,100,100,100,100,100,100,100,100,100,100,96,99
"272",100,100,100,98,100,100,100,100,50,100,97,50,100
"273",100,94,100,86,84,100,100,100,88,91,100,90,61
"274",100,100,100,100,100,100,100,100,50,100,100,50,100
"275",82,93,91,88,72,91,92,82,72,68,94,65,92
"276",91,94,92,52,49,100,99,50,51,61,65,48,76
"277",96,98,98,80,77,99,98,93,82,98,97,66,78
"278",100,100,100,93,79,100,100,100,100,100,100,82,100
"279",100,100,89,100,99,86,89,86,96,96,91,63,92
"280",93,91,94,80,90,96,86,100,91,84,88,76,71
"281",86,89,100,93,87,100,100,100,81,100,100,100,55
"282",2,3,2,7,57,49,99,100,100,1,1,NA,39
"283",86,82,82,73,68,79,81,83,70,72,80,84,79
"284",93,97,100,82,82,100,91,87,77,97,96,62,66
"285",7,6,7,3,4,4,4,4,14,9,4,5,6
"286",93,78,88,82,78,79,50,76,78,76,79,50,58
"287",94,100,97,85,85,100,100,100,100,90,73,83,95
"288",2,1,4,1,2,39,2,11,2,2,3,2,1
"289",100,100,100,95,100,100,94,100,100,100,100,85,94
"290",91,90,94,64,63,93,88,87,50,70,80,72,58
"291",88,83,77,100,82,100,100,100,68,70,100,86,72
"292",92,95,92,62,63,88,81,70,66,43,63,14,76
"293",100,100,100,100,100,100,100,100,100,100,100,100,100
"294",92,92,95,75,86,98,100,98,93,93,83,82,76
"295",100,100,100,100,100,100,100,100,94,82,100,100,100
"296",100,90,88,80,63,90,86,89,77,100,56,30,88
"297",100,100,100,100,100,100,100,100,37,100,100,100,100
"298",100,100,100,91,88,100,100,91,100,100,79,78,85
"299",32,43,42,20,26,47,45,38,43,14,24,34,20
"300",64,76,90,74,59,74,95,77,49,65,57,50,88
"301",86,90,83,73,82,90,95,87,77,75,77,81,81
"302",100,100,100,100,100,100,100,100,100,100,100,100,100
"303",99,97,99,47,99,100,46,97,50,88,82,26,100
"304",85,85,85,63,50,91,33,63,64,63,85,35,62
"305",100,100,100,70,62,100,100,100,73,100,100,81,100
"306",89,74,87,72,67,95,89,99,85,92,89,70,72
"307",92,78,94,64,60,84,91,60,70,71,73,85,70
"308",95,96,97,62,77,95,96,94,92,95,84,59,76
"309",80,58,64,59,65,71,55,70,62,60,54,58,66
"310",67,72,64,64,59,68,56,63,51,83,62,71,79
"311",85,94,89,67,72,90,84,78,77,71,51,82,60
"312",100,100,100,100,100,100,100,97,89,100,74,100,100
"313",65,76,77,60,79,68,80,79,56,74,61,62,61
"314",95,80,92,76,86,81,73,82,86,70,59,75,62
"315",97,77,99,61,67,100,92,88,83,71,78,55,99
"316",99,99,86,85,81,99,94,100,98,99,98,85,90
"317",98,97,100,95,84,100,100,100,NA,NA,NA,90,66
"318",69,62,73,50,50,50,50,64,72,71,50,32,50
"319",95,100,100,NA,100,100,100,100,81,100,94,92,94
"320",100,100,100,60,76,100,100,89,NA,100,92,44,91
"321",98,98,98,91,97,96,92,82,69,98,71,69,25
"322",50,71,34,67,73,74,62,50,50,50,50,50,50
"323",57,59,58,57,58,57,60,53,56,55,56,55,58
"324",100,100,100,100,98,100,100,100,100,100,75,99,100
"325",97,98,98,97,83,70,41,58,42,83,64,26,100
"326",91,88,94,59,63,86,90,86,74,70,76,70,64
"327",100,100,100,69,70,100,100,100,67,66,73,58,100
"328",100,100,100,87,68,100,100,100,100,55,100,100,99
"329",100,100,100,100,100,100,100,100,100,100,100,100,92
"330",59,84,81,58,16,100,99,56,81,79,100,54,78
"331",91,100,98,86,67,74,79,74,84,80,97,75,86
"332",85,86,50,69,86,73,50,72,50,50,78,50,72
"333",100,99,100,54,76,50,55,76,77,77,53,55,49
"334",37,43,38,40,43,70,74,75,69,92,54,NA,37
"335",100,100,100,100,100,100,100,100,100,100,100,100,83
"336",85,65,95,58,56,48,40,52,45,32,53,14,58
"337",100,100,100,97,98,97,96,94,66,79,92,100,96
"338",100,100,100,88,100,99,91,99,100,94,90,100,100
"339",57,75,51,41,36,40,41,49,35,23,51,50,38
"340",100,87,96,100,100,100,100,100,98,100,100,100,93
"341",73,82,100,83,77,100,91,100,100,100,56,78,100
"342",99,98,99,71,68,100,98,90,100,96,95,65,90
"343",100,88,78,83,64,94,94,81,78,86,50,56,100
"344",NA,NA,NA,50,50,52,50,50,61,50,NA,37,50
"345",78,100,100,95,90,85,89,83,32,97,100,NA,85
"346",100,100,100,100,100,100,100,100,38,100,100,100,100
"347",96,95,96,94,95,100,100,100,94,95,87,NA,94
"348",100,99,98,89,97,90,100,84,98,89,93,69,97
"349",84,100,100,77,69,97,100,81,57,70,50,93,91
"350",100,100,100,76,57,80,54,86,37,65,72,52,62
"351",30,54,57,84,75,83,74,71,74,54,63,57,33
"352",54,56,50,63,58,74,74,72,65,78,50,79,68
"353",50,59,51,83,51,100,100,88,40,53,42,47,56
"354",93,96,96,91,85,87,80,51,69,82,100,66,94
"355",100,100,100,84,81,100,95,93,92,100,100,81,100
"356",80,83,93,66,77,97,80,85,36,89,80,NA,82
"357",48,51,50,58,58,68,53,56,58,57,62,60,64
"358",85,92,85,73,84,94,66,66,39,87,75,55,63
"359",61,59,84,57,45,54,NA,67,74,69,66,26,57
"360",64,55,66,61,60,50,67,62,60,50,69,38,60
"361",100,100,100,100,100,100,100,100,75,100,100,36,100
"362",100,100,100,100,100,100,100,100,100,100,100,100,100
"363",100,100,100,50,90,100,100,100,90,100,100,32,100
"364",100,100,100,NA,68,100,100,100,100,100,100,50,100
"365",50,52,50,50,50,67,51,51,51,62,68,50,34
"366",100,99,100,73,74,100,100,97,90,62,87,95,100
"367",100,98,100,65,79,88,82,86,70,81,92,29,78
"368",50,100,100,100,50,NA,NA,26,12,4,3,50,5
"369",53,100,95,84,81,90,100,92,69,73,100,43,88
"370",88,33,85,21,29,70,79,78,65,73,50,19,82
"371",97,95,88,96,76,85,100,93,54,80,96,53,88
"372",97,98,94,97,97,84,83,88,86,96,98,95,98
"373",50,50,83,77,74,50,100,100,57,100,77,100,100
"374",100,100,100,100,100,100,100,98,51,100,100,22,100
"375",100,99,100,100,100,100,100,100,100,100,73,100,100
"376",78,84,88,74,76,80,78,80,77,68,70,84,53
"377",73,42,64,38,42,50,35,37,34,41,65,40,31
"378",93,91,91,94,95,100,99,100,89,91,97,88,84
"379",83,86,93,100,100,100,100,100,87,100,90,43,100
"380",83,27,100,71,67,90,46,47,47,23,65,47,47
"381",100,100,100,75,52,99,100,100,77,76,68,100,89
"382",99,50,66,50,77,77,50,50,50,64,74,72,98
"383",100,100,100,100,100,100,100,100,100,100,100,100,51
"384",83,94,92,79,79,87,88,89,71,73,80,85,83
"385",100,100,100,95,100,100,93,100,93,100,96,83,97
"386",100,100,100,100,100,100,97,100,100,100,100,100,95
"387",91,93,96,86,89,93,89,92,90,91,94,86,89
"388",NA,NA,NA,NA,NA,NA,NA,NA,100,98,NA,NA,100
"389",82,84,85,67,68,83,97,93,43,69,76,75,75
"390",63,80,27,100,100,100,100,100,24,74,100,NA,100
"391",100,100,100,87,70,100,100,100,97,78,100,100,64
"392",100,74,61,70,69,88,100,91,76,72,78,56,82
"393",100,100,100,NA,74,100,83,91,64,38,86,87,91
"394",100,100,100,88,94,100,100,100,83,96,100,68,100
"395",34,46,33,77,82,91,86,91,91,63,82,71,84
"396",72,100,100,100,100,80,NA,72,49,81,100,87,100
"397",94,92,95,91,97,100,83,100,88,91,87,67,74
"398",87,84,78,59,67,88,82,78,64,63,77,68,81
"399",94,95,98,92,83,95,100,95,80,95,91,91,93
"400",100,100,100,100,99,100,100,100,100,98,100,96,100
"401",89,90,86,81,73,85,89,90,80,85,85,82,86
"402",81,85,85,68,62,66,85,55,42,79,63,51,80
"403",79,84,89,50,75,92,89,94,72,87,89,50,50
"404",100,100,100,79,87,100,100,90,85,84,79,79,92
"405",67,64,66,76,62,99,97,87,83,66,68,94,95
"406",100,92,100,90,86,100,86,90,99,83,88,80,81
"407",100,100,100,30,50,100,36,50,67,65,93,24,51
"408",79,87,77,55,70,69,56,68,61,52,72,85,63
"409",95,96,100,76,86,69,70,68,72,65,89,78,91
"410",70,80,83,67,65,66,98,70,61,77,71,88,57
"411",100,100,100,100,100,100,100,100,100,100,100,71,62
"412",38,71,23,33,57,100,100,75,28,32,62,34,64
"413",83,74,99,41,44,80,100,17,30,24,10,25,3
"414",70,76,59,38,50,86,45,68,27,83,22,33,73
"415",100,98,96,94,93,94,82,86,95,93,89,86,59
"416",100,100,100,98,97,99,100,99,87,99,95,97,100
"417",84,97,99,87,88,90,NA,74,77,81,84,100,72
"418",100,96,99,88,98,94,96,85,88,89,51,94,73
"419",100,100,100,100,83,100,100,100,100,100,100,100,100
"420",72,75,83,55,62,75,79,78,69,66,46,51,57
"421",85,78,99,62,72,99,57,87,82,100,67,94,100
"422",84,80,51,90,93,88,90,58,55,31,73,55,57
"423",100,100,100,100,97,82,90,87,90,88,94,60,79
"424",100,95,100,83,82,92,97,91,27,95,99,30,100
"425",92,85,95,86,81,81,76,65,67,72,59,74,51
"426",100,95,100,100,77,100,97,97,70,88,93,69,100
"427",100,100,100,100,100,100,100,100,100,100,100,82,100
"428",100,98,100,83,93,100,100,100,1,83,65,30,92
"429",87,50,50,50,79,85,90,90,73,84,89,50,98
"430",92,90,91,89,88,100,95,93,92,90,78,89,88
"431",100,98,100,99,50,99,99,98,98,89,100,62,50
"432",77,99,89,70,NA,90,96,90,89,96,99,90,93
"433",83,85,83,66,79,88,88,83,95,89,92,61,73
"434",100,100,100,100,100,99,100,100,100,100,100,51,93
"435",97,99,93,72,50,94,97,83,75,94,75,80,99
"436",49,49,41,52,53,54,57,53,49,NA,52,NA,33
"437",84,89,88,86,87,93,86,91,64,28,84,26,91
"438",76,72,99,72,81,89,86,90,88,93,94,68,80
"439",80,83,63,52,100,100,94,100,99,94,92,94,100
"440",73,81,86,71,71,91,96,70,78,89,73,86,63
"441",69,53,50,64,82,97,93,66,75,85,71,58,78
"442",100,100,100,92,94,98,97,100,95,98,92,89,95
"443",61,60,61,72,65,62,63,60,61,56,63,58,61
"444",85,86,90,80,75,73,50,82,46,83,76,65,54
"445",83,74,91,80,69,86,90,49,93,83,85,73,46
"446",100,100,100,100,100,94,100,100,86,100,100,100,100
"447",79,89,100,77,75,100,95,89,93,81,61,59,77
"448",100,100,100,86,86,NA,NA,94,74,92,89,65,100
"449",88,85,100,86,100,100,100,100,84,89,68,100,70
"450",100,100,100,50,100,100,100,100,100,100,100,100,100
"451",92,73,100,65,73,92,80,85,56,67,91,86,100
"452",89,88,86,67,69,92,66,79,70,79,82,70,83
"453",97,95,98,54,53,83,100,96,67,74,56,50,71
"454",43,50,50,50,50,50,50,51,37,54,50,37,51
"455",NA,NA,NA,NA,NA,NA,NA,NA,50,49,NA,50,50
"456",97,98,97,81,94,95,93,95,81,85,85,78,90
"457",96,91,96,71,77,94,62,92,63,89,96,60,73
"458",85,100,100,100,92,100,100,81,80,100,100,100,100
"459",100,92,100,86,75,81,66,65,57,84,90,52,72
"460",51,88,61,51,58,75,62,61,32,53,56,35,73
"461",88,97,100,50,3,50,100,100,80,94,100,14,83
"462",7,10,11,42,14,93,9,10,54,64,27,19,17
"463",89,100,96,78,36,70,46,46,22,18,86,29,44
"464",86,83,93,85,84,97,75,81,86,75,74,69,66
"465",87,92,88,81,79,94,50,85,83,96,88,50,97
"466",100,100,100,86,88,100,88,100,65,100,83,72,67
"467",100,100,100,100,94,100,100,100,87,92,96,70,100
"468",96,100,100,59,100,97,92,96,92,64,97,75,66
"469",90,93,97,71,60,91,85,80,74,89,93,33,92
"470",99,97,98,89,96,69,79,75,93,93,70,95,94
"471",84,72,90,72,83,96,94,58,83,68,28,86,87
"472",93,92,92,91,92,68,79,82,92,90,88,89,91
"473",100,100,74,100,100,100,100,100,100,100,100,100,100
"474",52,47,42,37,34,36,35,32,44,52,48,33,34
"475",61,63,65,63,55,81,81,71,70,71,68,72,64
"476",100,100,100,100,100,100,100,100,100,100,100,100,100
"477",100,100,100,100,100,100,100,100,100,100,100,100,100
"478",100,100,100,87,71,100,59,87,100,100,64,84,91
"479",100,100,100,100,100,100,100,100,96,100,90,88,100
"480",50,51,50,NA,NA,NA,NA,NA,50,50,NA,50,50
"481",98,96,95,77,98,99,99,99,85,94,94,71,99
"482",100,100,100,100,100,100,100,100,100,100,100,88,95
"483",93,86,94,80,75,100,89,92,75,79,50,71,96
"484",100,100,100,90,95,100,100,100,79,100,96,100,100
"485",100,100,100,83,83,100,100,100,100,93,70,100,83
"486",100,100,100,100,100,100,100,100,47,94,100,37,89
"487",97,79,68,83,63,81,83,62,85,90,71,68,14
"488",50,31,32,100,100,87,87,99,100,100,100,100,21
"489",100,100,100,100,100,100,100,100,100,100,100,100,100
"490",99,100,99,99,99,99,99,99,99,100,88,99,99
"491",100,100,100,100,100,100,97,98,51,98,100,27,80
"492",95,92,92,92,89,96,92,95,89,96,93,98,98
"493",93,100,100,89,88,64,60,84,64,86,93,67,75
"494",50,52,55,51,48,67,61,76,55,58,47,50,42
"495",96,81,81,66,69,100,98,100,72,84,61,33,47
"496",NA,NA,NA,NA,NA,NA,NA,NA,83,85,NA,NA,77
"497",95,96,100,83,89,97,100,97,72,58,93,73,84
"498",100,100,100,65,100,86,100,100,83,84,77,88,100
"499",49,100,63,100,100,100,100,100,100,100,92,78,100
"500",97,95,94,99,97,97,93,96,99,100,100,82,98
"501",86,90,94,93,81,88,88,88,86,87,85,79,91
"502",73,74,75,60,73,88,86,81,77,72,66,68,57
"503",64,87,86,62,76,90,86,73,74,78,80,72,82
"504",100,97,99,77,96,93,100,100,98,95,90,60,94
"505",100,100,98,75,87,100,100,100,100,100,100,100,100
"506",100,100,99,99,100,100,100,99,100,99,100,99,99
"507",75,78,100,67,69,100,75,76,83,72,79,63,85
"508",99,99,91,85,86,94,96,98,76,99,78,68,60
"509",100,100,100,50,50,51,76,50,80,65,91,50,50
"510",99,100,100,88,86,100,100,89,90,100,81,83,99
"511",50,50,68,50,50,81,50,50,51,82,NA,54,67
"512",100,100,100,70,76,100,76,92,89,94,100,65,76
"513",42,87,83,74,87,88,36,74,61,52,47,80,51
"514",99,100,98,87,85,92,88,100,85,100,100,87,94
"515",99,100,98,NA,NA,96,82,97,NA,NA,73,51,96
"516",50,61,64,50,37,72,50,50,36,50,50,29,50
"517",100,100,100,62,62,100,100,100,100,100,100,100,100
"518",97,99,99,75,100,73,50,98,100,100,99,50,100
"519",91,100,88,47,65,100,100,100,70,71,86,78,100
"520",88,92,81,94,91,91,82,94,76,66,78,91,87
"521",100,100,99,98,98,100,100,98,99,99,97,35,100
"522",95,97,96,94,94,92,90,94,88,86,78,NA,60
"523",91,99,100,84,79,43,100,98,91,85,95,NA,83
"524",77,81,92,59,75,93,100,93,72,93,72,35,74
"525",73,91,90,84,90,94,92,78,82,96,89,90,89
"526",95,100,100,100,85,55,96,100,50,85,96,39,100
"527",81,91,87,66,76,73,54,76,74,78,61,67,85
"528",74,91,81,68,69,69,59,69,73,69,72,77,59
"529",98,100,100,100,75,100,97,97,84,100,66,88,66
"530",50,50,100,26,50,100,100,33,90,100,85,90,84
"531",100,100,100,100,89,100,100,100,100,100,100,100,90
"532",85,100,100,100,100,100,100,100,100,100,100,100,88
"533",100,100,100,96,86,100,100,100,86,100,100,100,100
"534",76,93,49,100,100,100,100,100,100,99,100,100,89
"535",24,100,100,100,100,100,100,100,100,100,100,100,100
"536",100,100,100,96,100,100,100,100,100,100,100,100,100
"537",96,97,97,93,97,98,96,92,96,97,97,74,96
"538",88,81,62,83,84,97,95,94,72,81,90,79,75
"539",100,100,100,100,100,100,100,100,100,100,100,100,100
"540",100,100,100,99,100,100,100,100,81,100,100,100,100
"541",100,100,100,84,85,100,100,100,51,88,100,85,100
"542",100,100,100,100,100,100,100,100,100,100,100,100,100
"543",84,56,78,100,100,67,78,64,100,100,63,57,87
"544",97,97,98,57,63,79,97,61,96,97,60,66,45
"545",74,100,100,74,84,100,100,100,50,75,70,50,84
"546",NA,NA,NA,NA,NA,95,98,94,NA,95,NA,NA,98
"547",79,96,96,75,78,79,87,82,90,89,71,85,83
"548",98,100,100,59,84,100,98,99,95,93,93,57,98
"549",90,74,85,100,100,100,100,100,100,100,99,100,100
"550",42,66,70,46,42,70,43,48,62,61,68,50,43
"551",96,96,94,90,90,100,100,100,100,96,89,82,84
"552",84,91,94,NA,66,82,93,80,88,74,64,79,89
"553",100,100,100,100,100,100,100,100,100,100,100,100,100
"554",98,100,100,100,100,100,100,100,100,100,73,79,100
"555",18,20,35,74,86,98,87,92,89,13,30,35,27
"556",100,100,100,100,95,100,100,100,100,98,90,99,100
"557",87,89,87,87,90,89,84,88,85,39,73,89,88
"558",NA,NA,NA,77,78,63,69,80,81,97,87,100,78
"559",99,96,100,96,96,97,98,97,52,97,98,56,85
"560",100,100,100,89,81,100,100,100,100,100,100,85,100
"561",100,100,99,48,50,50,100,50,78,89,100,56,51
"562",100,100,100,68,64,100,78,90,91,100,86,27,91
"563",100,100,100,100,92,100,100,100,100,100,35,58,100
"564",50,50,50,48,NA,50,NA,50,NA,50,50,NA,50
"565",NA,NA,NA,79,90,NA,NA,NA,71,79,NA,NA,89
"566",86,86,90,89,85,90,98,83,90,84,86,64,89
"567",96,95,97,90,90,94,92,96,91,95,87,53,87
"568",100,100,100,100,56,100,100,100,100,100,34,69,100
"569",100,100,100,100,100,100,100,100,100,100,100,82,100
"570",80,88,84,80,81,68,91,79,88,100,86,89,64
"571",50,53,68,52,50,80,70,66,71,77,58,76,71
"572",92,100,100,94,100,100,100,100,38,91,68,52,88
"573",93,96,97,80,91,95,73,85,63,96,61,79,89
"574",93,87,92,28,13,88,91,85,90,82,83,NA,95
"575",81,69,100,75,72,68,66,71,71,71,NA,NA,46
"576",84,90,89,74,69,94,91,83,90,88,87,82,86
"577",100,100,100,87,70,100,85,83,87,92,92,25,94
"578",92,90,30,85,76,100,95,95,55,73,70,72,99
"579",75,72,73,90,82,100,70,86,84,100,70,69,89
"580",98,99,98,50,50,67,50,85,41,97,97,72,95
"581",71,71,78,71,68,NA,68,76,68,68,61,69,79
"582",100,100,100,100,100,100,100,100,100,100,100,61,100
"583",71,100,100,83,100,99,100,83,55,100,100,78,100
"584",95,89,97,96,96,100,94,98,94,100,94,86,100
"585",100,100,100,61,54,100,100,86,79,89,74,68,99
"586",98,92,100,19,79,100,78,82,93,100,65,65,90
"587",86,51,77,73,90,95,99,83,83,86,NA,56,50
"588",92,88,96,25,53,95,95,79,6,67,94,100,57
"589",100,96,100,100,100,100,84,95,84,87,81,92,73
"590",97,93,100,80,97,100,96,96,94,90,98,73,69
"591",100,100,100,100,94,100,100,100,95,98,100,85,100
"592",100,100,100,73,100,60,96,55,100,100,100,56,81
"593",100,100,93,89,83,51,100,92,83,86,85,28,69
"594",100,100,100,94,81,100,100,100,94,94,89,86,100
"595",100,100,100,100,100,100,100,100,100,100,96,89,67
"596",68,65,72,63,67,31,50,38,57,38,52,67,6
"597",100,100,100,100,84,100,100,100,62,100,90,100,100
"598",71,91,91,63,71,76,73,75,30,89,69,40,71
"599",74,82,87,45,50,72,100,79,56,70,71,74,28
"600",NA,NA,NA,40,46,70,71,61,NA,NA,2,57,62
"601",92,96,85,93,97,100,100,100,96,100,100,77,100
"602",100,100,100,100,90,100,100,100,100,93,98,95,98
"603",100,99,91,55,92,100,100,76,76,100,75,63,99
"604",80,87,80,90,71,96,100,100,100,91,87,97,78
"605",100,100,100,100,100,100,100,100,79,94,1,56,100
"606",89,84,85,85,78,98,NA,81,63,83,84,81,85
"607",71,100,92,90,80,100,100,50,19,100,100,50,100
"608",96,97,100,99,83,100,96,96,91,95,100,96,89
"609",77,90,85,84,82,100,96,98,38,84,82,59,45
"610",100,100,100,100,NA,100,87,100,70,39,100,79,100
"611",88,62,72,55,53,56,64,55,53,53,47,65,40
"612",85,91,66,85,81,80,91,100,77,100,100,77,56
"613",100,100,100,100,97,100,100,100,100,100,100,75,100
"614",93,95,98,52,62,100,69,79,53,57,91,37,58
"615",99,96,31,50,82,51,98,97,39,100,93,9,26
"616",50,50,50,50,50,50,50,50,68,56,50,50,51
"617",55,59,58,81,62,62,57,51,50,57,54,93,50
"618",99,100,99,78,96,100,100,100,93,99,94,99,100
"619",100,100,100,96,88,28,100,100,100,100,84,69,16
"620",95,89,95,81,90,100,100,85,71,80,67,65,76
"621",36,44,80,57,80,92,63,78,56,45,63,NA,58
"622",93,100,94,70,82,100,100,98,85,94,77,66,53
